iden,beta1,gamma1,delta1,alfa1,altra1,estr1,beta2,gamma2,delta2,alfa2,edat,memb,estd,eciv,prof1,prof2,ingr
1,0,0,0,0,1,0,1,0,0,0,40,4,12,1,1,0,190
2,0,0,0,0,1,0,0,0,0,1,57,2,12,1,1,0,220
3,0,0,0,0,1,0,0,0,0,1,35,1,16,0,1,0,220
4,0,0,0,0,1,0,0,1,0,0,54,3,14,1,1,0,220
5,0,0,1,0,0,0,0,0,1,0,43,5,14,1,0,1,110
6,0,0,1,0,0,0,0,1,0,0,19,6,14,0,0,0,220
7,0,0,0,0,1,0,0,0,0,0,38,5,18,1,1,0,220
8,0,0,0,0,1,0,0,1,0,0,42,3,14,1,1,0,220
9,0,0,1,0,0,0,0,0,1,0,21,2,12,0,1,0,25
10,0,0,0,1,0,0,0,0,0,0,19,5,14,0,0,0,190
11,0,0,0,1,0,0,0,0,1,0,18,4,10,0,0,1,110
12,0,0,0,0,0,1,0,0,0,1,48,3,18,1,1,0,190
13,0,0,1,0,0,0,0,0,1,0,30,1,18,0,1,0,25
14,0,0,0,0,0,0,0,0,0,0,28,2,12,1,1,0,85
15,1,0,0,0,0,0,0,0,1,0,20,2,14,0,0,0,220
16,0,0,0,0,0,1,0,0,0,1,18,5,14,0,0,0,220
17,0,0,0,1,0,0,0,0,0,1,21,7,14,0,0,0,125
18,0,0,0,0,1,0,1,0,0,0,23,2,16,1,1,0,170
19,0,0,0,1,0,0,0,0,0,1,28,1,14,0,1,0,150
20,0,0,1,0,0,0,0,0,1,0,45,3,18,1,1,0,150
21,0,0,1,0,0,0,0,0,1,0,48,1,16,0,0,1,110
22,0,0,0,1,0,0,0,0,0,1,24,2,12,0,1,0,110
23,0,0,0,0,1,0,0,0,0,1,33,3,16,1,1,0,220
24,0,0,0,1,0,0,1,0,0,0,47,5,16,1,1,0,220
25,0,0,0,0,1,0,0,0,1,0,20,4,14,0,0,1,220
26,0,0,0,0,1,0,0,0,1,0,57,2,12,1,0,1,110
27,0,0,0,0,1,0,1,0,0,0,56,2,18,1,1,0,190
28,0,0,1,0,0,0,0,0,0,1,37,4,12,1,1,0,220
29,0,0,1,0,0,0,0,0,1,0,18,5,14,0,0,0,220
30,0,1,0,0,0,0,0,1,0,0,21,4,14,1,1,0,110
31,0,0,1,0,0,0,1,0,0,0,19,7,12,0,0,1,150
32,0,0,0,1,0,0,0,0,1,0,27,2,16,1,0,0,25
33,0,0,0,0,0,1,0,0,1,0,23,3,14,0,0,1,220
34,0,0,0,0,1,0,0,0,1,0,25,4,16,1,0,1,125
35,0,0,1,0,0,0,0,0,1,0,23,1,14,0,1,0,60
36,1,0,0,0,0,0,1,0,0,0,30,2,18,1,1,0,220
37,0,0,1,0,0,0,0,0,1,0,20,5,12,0,0,1,150
38,0,0,0,1,0,0,1,0,0,0,18,4,14,0,0,0,190
39,0,0,1,0,0,0,0,0,1,0,18,1,12,0,0,1,60
40,0,0,1,0,0,0,0,0,1,0,22,2,14,1,0,1,170
41,0,0,0,1,0,0,1,0,0,0,42,5,12,1,0,1,150
42,0,0,0,0,1,0,0,0,1,0,19,7,14,0,0,1,150
43,0,0,0,0,0,0,0,0,0,0,18,4,10,0,0,1,220
44,0,0,0,0,0,0,0,0,1,0,24,4,14,1,0,0,60
45,0,0,0,0,0,0,0,0,0,1,28,1,14,0,1,0,125
46,0,1,0,0,0,0,0,1,0,0,21,4,12,0,0,1,170
47,0,0,1,0,0,0,0,0,0,1,33,1,18,1,1,0,220
48,0,0,0,0,1,0,0,0,1,0,20,7,14,0,0,0,220
49,0,0,1,0,0,0,0,1,0,0,18,4,12,0,0,0,220
50,0,0,0,1,0,0,0,1,0,0,50,4,18,1,0,1,190
51,0,0,0,0,1,0,0,0,1,0,23,3,16,0,0,0,220
52,0,0,0,0,1,0,0,1,0,0,21,9,12,0,1,0,125
53,1,0,0,0,0,0,1,0,0,0,23,2,12,1,0,1,125
54,0,0,0,0,0,1,0,1,0,0,24,8,14,0,0,1,190
55,0,0,1,0,0,0,0,0,1,0,24,2,14,0,0,1,85
56,0,0,1,0,0,0,0,0,0,1,32,4,12,1,1,0,110
57,1,0,0,0,0,0,1,0,0,0,35,5,14,1,1,0,220
58,0,0,1,0,0,0,0,0,0,1,25,3,16,1,0,1,150
59,0,0,0,0,1,0,0,0,0,1,42,4,16,1,1,0,125
60,0,0,1,0,0,0,0,0,1,0,25,4,14,1,0,1,125
61,0,1,0,0,0,0,0,1,0,0,63,2,16,1,0,0,150
62,0,0,1,0,0,0,0,0,0,1,44,3,18,1,1,0,220
63,0,0,0,0,1,0,0,0,0,1,25,1,12,0,0,1,190
64,0,0,0,0,1,0,0,0,1,0,36,5,14,1,1,0,150
65,0,0,1,0,0,0,0,0,1,0,18,7,14,0,0,0,220
66,0,0,0,0,0,1,0,0,0,0,23,3,14,0,0,0,60
67,0,0,0,1,0,0,0,0,0,1,64,3,12,1,0,1,25
68,1,0,0,0,0,0,0,0,1,0,29,1,14,0,0,1,150
69,0,0,0,0,0,1,0,0,0,1,21,3,14,0,0,0,190
70,0,0,0,1,0,0,0,0,1,0,29,3,18,1,1,0,220
71,1,0,0,0,0,0,0,0,0,1,42,3,16,1,1,0,190
72,0,0,0,1,0,0,0,0,1,0,36,4,14,1,1,0,170
73,0,0,1,0,0,0,0,0,1,0,36,5,18,1,1,0,220
74,0,0,0,1,0,0,0,0,0,0,30,4,18,1,1,0,110
75,0,0,0,0,1,0,0,1,0,0,21,1,12,0,0,1,25
76,0,0,0,0,1,0,0,1,0,0,23,1,14,0,1,0,60
77,0,0,0,0,1,0,0,0,1,0,41,4,16,1,1,0,190
78,0,0,1,0,0,0,0,0,1,0,40,6,16,1,1,0,190
79,0,0,1,0,0,0,0,0,1,0,45,4,18,1,1,0,125
80,0,0,1,0,0,0,0,0,1,0,24,5,14,1,0,1,60
81,0,1,0,0,0,0,1,0,0,0,21,4,14,0,0,0,25
82,0,0,0,0,1,0,0,0,1,0,37,4,12,1,1,0,220
83,0,0,0,1,0,0,0,0,0,1,27,3,12,1,1,0,85
84,0,0,0,0,1,0,0,0,0,1,44,4,14,1,1,0,220
85,1,0,0,0,0,0,1,0,0,0,45,3,12,1,1,0,125
86,0,0,1,0,0,0,0,0,0,1,32,2,14,1,1,0,220
87,0,0,0,0,1,0,0,0,1,0,25,1,14,0,1,0,60
88,0,0,1,0,0,0,0,0,1,0,26,2,12,0,1,0,125
89,1,0,0,0,0,0,0,0,0,1,19,6,12,0,1,0,190
90,0,0,0,0,1,0,0,0,1,0,26,3,10,1,0,1,60
91,1,0,0,0,0,0,0,0,1,0,18,4,14,0,0,1,220
92,0,0,1,0,0,0,0,0,1,0,32,3,14,0,1,0,125
93,0,0,0,1,0,0,0,1,0,0,42,1,8,1,0,1,170
94,0,0,1,0,0,0,0,0,1,0,29,3,16,1,0,1,190
95,0,0,0,0,0,0,0,1,0,0,21,4,14,0,0,0,110
96,0,0,0,0,1,0,0,0,1,0,19,3,12,0,0,0,85
97,0,0,0,0,1,0,1,0,0,0,21,3,14,0,0,0,125
98,0,0,1,0,0,0,0,0,1,0,33,4,12,1,0,1,150
99,0,0,0,0,1,0,0,0,0,1,51,4,18,1,1,0,150
100,0,0,0,0,0,0,0,1,0,0,25,3,16,0,1,0,220
101,0,0,0,0,1,0,0,0,1,0,20,3,14,0,1,0,85
102,0,0,0,0,1,0,0,0,1,0,40,9,18,1,1,0,220
103,0,0,1,0,0,0,0,0,1,0,18,4,10,0,0,0,220
104,0,0,0,1,0,0,0,0,1,0,28,7,12,1,0,1,110
105,0,0,0,0,0,0,0,0,1,0,49,3,12,1,0,1,220
106,0,0,0,0,1,0,0,1,0,0,46,4,8,1,0,1,110
107,0,0,1,0,0,0,0,0,1,0,27,4,16,1,0,1,60
108,0,0,0,0,0,0,0,0,0,1,34,4,18,1,1,0,220
109,0,0,1,0,0,0,0,0,1,0,26,2,14,1,0,1,150
110,0,0,1,0,0,0,0,0,1,0,19,3,14,0,0,0,220
111,0,0,0,1,0,0,0,0,0,1,41,5,16,1,1,0,190
112,1,0,0,0,0,0,1,0,0,0,53,2,16,1,1,0,220
113,0,0,0,1,0,0,0,0,0,1,39,3,18,1,1,0,220
114,0,0,0,0,1,0,0,0,1,0,19,6,14,0,0,1,220
115,0,0,1,0,0,0,0,0,1,0,18,1,12,0,0,1,25
116,0,0,0,0,0,0,0,0,1,0,45,3,16,0,1,0,170
117,0,0,0,0,1,0,0,0,1,0,19,6,14,0,1,0,220
118,1,0,0,0,0,0,0,0,0,1,25,3,12,0,0,1,85
119,0,0,0,0,1,0,0,0,0,1,56,4,16,1,1,0,190
120,0,0,0,1,0,0,1,0,0,0,37,4,14,1,1,0,220
121,0,0,0,0,1,0,0,0,1,0,19,5,10,0,1,0,220
122,0,0,1,0,0,0,0,0,1,0,61,1,18,0,1,0,85
123,0,0,1,0,0,0,0,0,1,0,18,5,10,0,0,0,170
124,0,0,0,0,0,1,0,0,1,0,32,4,16,1,1,0,220
125,0,0,0,0,1,0,0,0,0,1,42,4,16,1,1,0,220
126,0,0,0,1,0,0,0,0,0,1,38,3,16,0,1,0,125
127,0,0,1,0,0,0,0,0,1,0,58,4,14,1,1,0,220
128,0,0,0,0,1,0,0,1,0,0,28,3,14,1,0,1,125
129,0,0,0,0,1,0,0,0,0,1,34,1,14,0,0,1,150
130,0,0,1,0,0,0,0,0,0,1,20,3,12,1,0,1,25
131,0,0,0,1,0,0,0,1,0,0,37,6,12,1,0,1,125
132,1,0,0,0,0,0,0,0,0,1,21,4,12,0,0,1,150
133,0,0,0,0,1,0,1,0,0,0,55,3,16,1,0,1,170
134,1,0,0,0,0,0,1,0,0,0,57,2,12,1,0,0,170
135,0,0,0,0,1,0,0,0,0,1,24,2,18,1,1,0,85
136,0,0,0,0,1,0,0,1,0,0,30,4,16,1,1,0,220
137,0,0,0,1,0,0,0,0,0,1,40,5,18,1,1,0,170
138,0,0,0,0,1,0,0,0,0,1,27,2,16,1,1,0,220
139,0,0,0,0,1,0,0,0,0,1,29,1,18,0,1,0,60
140,1,0,0,0,0,0,0,0,0,1,30,4,14,1,0,1,110
141,0,0,1,0,0,0,0,0,1,0,26,2,18,1,1,0,190
142,0,0,0,0,0,0,0,0,1,0,21,7,14,0,0,1,220
143,0,0,0,0,1,0,1,0,0,0,19,1,10,0,0,1,25
144,0,0,0,0,0,0,0,0,0,1,26,4,14,0,0,0,25
145,0,0,1,0,0,0,0,0,1,0,24,2,18,1,1,0,220
146,1,0,0,0,0,0,0,0,1,0,40,9,16,1,1,0,125
147,0,0,1,0,0,0,0,0,1,0,18,3,12,0,0,1,190
148,0,0,0,0,1,0,0,0,1,0,52,2,12,1,1,0,110
149,0,0,1,0,0,0,0,0,1,0,18,5,14,0,0,0,85
150,1,0,0,0,0,0,1,0,0,0,30,2,14,0,1,0,85
151,0,0,1,0,0,0,0,0,1,0,18,4,12,0,0,1,170
